id;nom;description;debut;fin;nb_jours_rappel;remarques
1;Hat;Maryland calculating;2020-12-19;2020-12-20;47194;Borders primary Strategist
2;Movies Bacon Turkey;functionalities;2020-12-20;2020-12-20;53299;motivating
3;synergize Awesome Fresh Towels;hard drive back-end;2020-12-19;2020-12-19;85696;payment bleeding-edge
4;Austria Shirt;back up;2020-12-20;2020-12-20;6790;JBOD transmitting Utah
5;Rubber parsing;capacity Fantastic Ergonomic;2020-12-20;2020-12-20;84960;azure integrated Fresh
6;interface;Handcrafted Metal Sausages back up collaborative;2020-12-19;2020-12-20;44967;navigate withdrawal Avon
7;SDD Argentina;Fantastic Republic of Korea;2020-12-19;2020-12-20;90292;microchip
8;parse indexing;hardware Berkshire Shoes;2020-12-20;2020-12-19;49641;Shoal orchid
9;USB;Cambridgeshire implementation;2020-12-20;2020-12-20;63295;innovate Direct cyan
10;deposit Applications;mission-critical matrix integrated;2020-12-20;2020-12-20;57776;Berkshire port
