id;code;localite;description
1;Forks bleeding-edge;Loop Outdoors synergy;Realigned New York Chicken
2;Estates initiative;Reactive Andorra;Cotton Object-based
3;Assistant Cordoba Oro;Chief synthesizing Frozen;Credit Card Account
4;Cambridgeshire Chair Western Sahara;Lodge District orchestrate;withdrawal
5;Avon Officer;Lead 3rd generation;Industrial TCP
6;Handmade Fresh Chair Unbranded ADP;pink;Arkansas
7;white withdrawal;payment strategy;Unbranded
8;back-end Branding;alarm;Group
9;Agent;Bolivia;National Accounts Down-sized
10;calculating;Rhode Island Steel;Andorra Wisconsin
